indx,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
0,3d research,2092-6731,151,106,1.424528302,0.29,2015
1,aaps pharmscitech,1530-9932,2208,801,2.756554307,0.665,2015
2,abstract and applied analysis,1687-0409,3005,2923,1.02805337,0.192,2015
3,academic psychiatry,1545-7230,537,490,1.095918367,0.208,2015
4,academic questions,1936-4709,40,67,0.597014925,0.097,2015
5,accreditation and quality assurance,1432-0517,255,331,0.770392749,0.134,2015
6,acoustics australia,1839-2571,30,25,1.2,0.234,2015
7,acrocephalus,2199-6067,9,15,0.6,0.098,2015
8,acta adriatica,1846-0453,28,37,0.756756757,0.131,2015
9,acta agriculturae slovenica,1854-1941,71,97,0.731958763,0.125,2015
10,acta amazonica,0044-5967,340,315,1.079365079,0.204,2015
11,acta applicandae mathematicae,1572-9036,512,447,1.14541387,0.22,2015
12,acta biochimica polonica,0001-527X,912,500,1.824,0.396,2015
13,acta bioethica,1726-569X,70,98,0.714285714,0.122,2015
15,acta biologica cracoviensia series botanica,1898-0295,128,131,0.977099237,0.18,2015
16,acta biotheoretica,1572-8358,143,109,1.311926606,0.261,2015
17,acta botanica brasilica,0102-3306,536,448,1.196428571,0.233,2015
18,acta botanica croatica,0365-0588,109,119,0.915966387,0.166,2015
19,acta chimica sinica,1614-7065,619,537,1.152700186,0.222,2015
20,acta chimica slovenica,1318-0207,499,520,0.959615385,0.176,2015
21,acta chimica slovenica,1580-3155,499,520,0.959615385,0.176,2015
22,acta cirurgica brasileira,0102-8650,657,602,1.091362126,0.207,2015
23,acta cirurgica brasileira,1678-2674,657,602,1.091362126,0.207,2015
24,acta clinica croatica,1333-9451,230,287,0.801393728,0.141,2015
25,acta diabetologica,1432-5233,1432,483,2.964803313,0.729,2015
26,acta endoscopica,1958-5454,31,70,0.442857143,0.067,2015
27,acta ethologica,1437-9546,138,103,1.339805825,0.268,2015
28,acta geophysica,1895-7455,443,339,1.306784661,0.26,2015
29,acta geotechnica,1861-1133,481,193,2.492227979,0.586,2015
30,acta herpetologica,1827-9635,100,114,0.877192982,0.158,2015
31,acta herpetologica,1827-9643,100,114,0.877192982,0.158,2015
32,acta herpetologica,1970-9498,100,114,0.877192982,0.158,2015
33,acta histochemica et cytochemica,1347-5800,193,135,1.42962963,0.291,2015
34,acta ichthyologica et piscatoria,0137-1592,163,155,1.051612903,0.198,2015
35,acta informatica,1432-0525,97,86,1.127906977,0.216,2015
36,acta limnologica brasiliensia,2179-975X,226,186,1.215053763,0.237,2015
37,acta mechanica,1619-6937,1758,879,2,0.444,2015
38,acta mechanica sinica,1614-3116,636,528,1.204545455,0.235,2015
39,acta medica okayama,0386-300X,257,228,1.127192982,0.216,2015
40,acta medica portuguesa,1646-0758,313,497,0.629778672,0.104,2015
41,acta montanistica slovaca,1335-1788,5,2,2.5,0.588,2015
42,acta neurobiologiae experimentalis,0065-1400,450,215,2.093023256,0.47,2015
43,acta neurobiologiae experimentalis,1689-0035,450,215,2.093023256,0.47,2015
44,acta neurochirurgica,0942-0940,2777,1512,1.836640212,0.399,2015
45,acta neurologica belgica,2240-2993,354,312,1.134615385,0.218,2015
46,acta neuropathologica,1432-0533,7201,719,10.01529903,3.371,2015
47,acta orthopaedica,1745-3674,2364,611,3.869067103,1.019,2015
48,acta orthopaedica et traumatologica turcica,1017-995X,471,380,1.239473684,0.243,2015
49,acta ortopedica brasileira,1413-7852,234,256,0.9140625,0.166,2015
50,acta ortopedica brasileira,1809-4406,234,256,0.9140625,0.166,2015
51,acta palaeontologica polonica,0567-7920,682,405,1.683950617,0.358,2015
52,acta palaeontologica polonica,1732-2421,682,405,1.683950617,0.358,2015
53,acta paulista de enfermagem,0103-2100,993,855,1.161403509,0.224,2015
55,acta pharmaceutica,1330-0075,387,183,2.114754098,0.477,2015
56,acta pharmaceutica,1846-9558,387,183,2.114754098,0.477,2015
57,acta physica polonica a,1509-5770,1354,1904,0.711134454,0.121,2015
58,acta physiologiae plantarum,1861-1664,2572,1234,2.084278768,0.468,2015
59,acta polytechnica hungarica,1785-8860,145,36,4.027777778,1.072,2015
60,acta protozoologica,0065-1583,197,138,1.427536232,0.291,2015
61,acta protozoologica,1689-0027,197,138,1.427536232,0.291,2015
62,acta reumatologica portuguesa,0303-464X,213,205,1.03902439,0.195,2015
63,acta societatis botanicorum poloniae,2083-9480,647,1235,0.52388664,0.082,2015
64,acta veterinaria brno,1801-7576,192,271,0.708487085,0.12,2015
65,acta veterinaria scandinavica,0044-605X,738,417,1.769784173,0.381,2015
66,acta veterinaria scandinavica,1751-0147,738,417,1.769784173,0.381,2015
67,acta zoologica academiae scientiarum hungaricae,1217-8837,31,34,0.911764706,0.165,2015
68,acta zoologica academiae scientiarum hungaricae,2064-2474,31,34,0.911764706,0.165,2015
69,active and passive electronic components,1563-5031,66,72,0.916666667,0.166,2015
70,adansonia,1280-8571,48,60,0.8,0.14,2015
71,adansonia,1639-4798,48,60,0.8,0.14,2015
72,addiction science & clinical practice,1940-0640,294,133,2.210526316,0.504,2015
73,adhd attention deficit and hyperactivity disorders,1866-6647,347,117,2.965811966,0.729,2015
74,advanced science letters,1936-6612,910,1330,0.684210526,0.115,2015
75,advanced science letters,1936-7317,910,1330,0.684210526,0.115,2015
76,advances in acoustics and vibration,1687-627X,73,86,0.848837209,0.151,2015
77,advances in applied clifford algebras,1661-4909,260,238,1.092436975,0.208,2015
78,advances in artificial intelligence,1687-7489,61,64,0.953125,0.175,2015
79,advances in artificial neural systems,1687-7608,45,52,0.865384615,0.155,2015
80,advances in astronomy,1687-7969,286,154,1.857142857,0.405,2015
81,advances in astronomy,1687-7977,286,154,1.857142857,0.405,2015
82,advances in atmospheric sciences,1861-9533,1014,558,1.817204301,0.394,2015
83,advances in bioinformatics,1687-8035,105,82,1.280487805,0.254,2015
84,advances in civil engineering,1687-8094,146,122,1.196721311,0.233,2015
85,advances in cognitive psychology,1895-1171,162,80,2.025,0.451,2015
86,advances in computational mathematics,1572-9044,443,225,1.968888889,0.436,2015
87,advances in condensed matter physics,1687-8108,205,195,1.051282051,0.198,2015
88,advances in condensed matter physics,1687-8124,205,195,1.051282051,0.198,2015
89,advances in decision sciences,2090-3367,0,1,0,0,2015
90,advances in difference equations,1687-1847,1298,954,1.360587002,0.274,2015
91,advances in electrical and computer engineering,1582-7445,278,317,0.876971609,0.157,2015
92,advances in electrical and computer engineering,1844-7600,278,317,0.876971609,0.157,2015
93,advances in fuzzy systems,1687-711X,128,107,1.196261682,0.233,2015
94,advances in geosciences,1680-7359,264,216,1.222222222,0.239,2015
95,advances in health sciences education,1573-1677,1179,314,3.75477707,0.981,2015
96,advances in high energy physics,1687-7357,791,373,2.120643432,0.478,2015
97,advances in high energy physics,1687-7365,791,373,2.120643432,0.478,2015
98,advances in materials science and engineering,1687-8434,795,638,1.246081505,0.245,2015
99,advances in materials science and engineering,1687-8442,795,638,1.246081505,0.245,2015
100,advances in mathematical physics,1687-9120,210,185,1.135135135,0.218,2015
101,advances in mechanical engineering,1687-8140,862,765,1.126797386,0.216,2015
102,advances in medical sciences,1898-4002,399,253,1.577075099,0.329,2015
103,advances in meteorology,1687-9309,538,339,1.587020649,0.332,2015
104,advances in meteorology,1687-9317,538,339,1.587020649,0.332,2015
105,advances in numerical analysis,1687-9570,28,40,0.7,0.119,2015
106,advances in operations research,1687-9155,53,48,1.104166667,0.21,2015
107,advances in optical technologies,1687-6407,126,97,1.298969072,0.258,2015
108,advances in optoelectronics,1687-5648,104,81,1.283950617,0.254,2015
109,advances in pharmacological sciences,1687-6342,304,100,3.04,0.752,2015
110,advances in physical chemistry,1687-7993,130,71,1.830985915,0.398,2015
111,advances in physiology education,1522-1229,576,275,2.094545455,0.471,2015
112,advances in rehabilitation,1734-4948,12,21,0.571428571,0.092,2015
113,advances in science and research,1992-0636,151,113,1.336283186,0.267,2015
114,advances in software engineering,1687-8663,62,49,1.265306122,0.25,2015
115,advances in therapy,1865-8652,1238,420,2.947619048,0.724,2015
116,advances in tribology,1687-5923,71,73,0.97260274,0.179,2015
